DPTR_TM1,DPTR_TM2,DPTR_TM3,DPTR_TM4,DPTR_TM5,DPTR_TM6,DPTR_TM7,DPTR_TM8,ARRV_TM1,ARRV_TM2,ARRV_TM3,ARRV_TM4,ARRV_TM5,ARRV_TM6,ARRV_TM7,ARRV_TM8,FLT_DATE1,FLT_DATE2,FLT_DATE3,FLT_DATE4,FLT_DATE5,FLT_DATE6,FLT_DATE7,FLT_DATE8,ORAC1,ORAC2,ORAC3,ORAC4,ORAC5,ORAC6,ORAC7,ORAC8,DSTC1,DSTC2,DSTC3,DSTC4,DSTC5,DSTC6,DSTC7,DSTC8,NUM_CONNECTIONS,LAST_ARRIVAL,TOTAL_DUR_MIN,TOTAL_CONNECTION_TIME_MIN,MAX_CONNECTION_TIME_MINUTES,DEPARTURE_DOW,ARRIVAL_DOW,INCLUDE
1369,870,360,,,,,,645,1070,450,,,,,,1/3/2019,1/5/2019,11/4/2018,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,450,1961,955,730,5,7,TRUE
1369,870,360,,,,,,645,1070,450,,,,,,1/3/2019,1/5/2019,11/4/2018,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,450,1961,955,730,5,7,TRUE
1369,870,360,,,,,,645,1070,450,,,,,,1/3/2019,1/5/2019,11/4/2018,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,450,1961,955,730,5,7,TRUE
1369,870,360,,,,,,645,1070,450,,,,,,1/3/2019,1/5/2019,11/4/2018,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,450,1961,955,730,5,7,TRUE
1410,870,360,,,,,,670,1070,450,,,,,,1/25/2019,1/5/2019,11/4/2018,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,450,1920,930,730,5,7,TRUE
1369,500,635,,,,,,645,700,725,,,,,,1/3/2019,11/5/2018,1/11/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,725,3676,2670,1375,5,1,TRUE
1369,500,635,,,,,,645,700,725,,,,,,1/3/2019,11/5/2018,1/11/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,725,3676,2670,1375,5,1,TRUE
1369,500,635,,,,,,645,700,725,,,,,,1/3/2019,11/5/2018,1/11/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,725,3676,2670,1375,5,1,TRUE
1410,500,635,,,,,,670,700,725,,,,,,1/25/2019,11/5/2018,1/11/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,725,3635,2645,1375,5,1,TRUE
1369,870,635,,,,,,645,1070,725,,,,,,1/3/2019,1/5/2019,1/13/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,725,2236,1230,1005,5,7,TRUE
1369,870,635,,,,,,645,1070,725,,,,,,1/3/2019,1/5/2019,1/13/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,725,2236,1230,1005,5,7,TRUE
1369,870,635,,,,,,645,1070,725,,,,,,1/3/2019,1/5/2019,1/13/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,725,2236,1230,1005,5,7,TRUE
1410,870,635,,,,,,670,1070,725,,,,,,1/25/2019,1/5/2019,1/13/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,725,2195,1205,1005,5,7,TRUE
1369,870,760,,,,,,645,1070,850,,,,,,1/3/2019,1/5/2019,1/6/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,850,2361,1355,1130,5,7,TRUE
1369,870,760,,,,,,645,1070,850,,,,,,1/3/2019,1/5/2019,1/6/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,850,2361,1355,1130,5,7,TRUE
1369,870,760,,,,,,645,1070,850,,,,,,1/3/2019,1/5/2019,1/6/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,850,2361,1355,1130,5,7,TRUE
1410,870,760,,,,,,670,1070,850,,,,,,1/25/2019,1/5/2019,1/6/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,850,2320,1330,1130,5,7,TRUE
1369,500,760,,,,,,645,700,850,,,,,,1/3/2019,11/5/2018,1/6/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,850,2361,1355,1295,5,7,TRUE
1369,500,760,,,,,,645,700,850,,,,,,1/3/2019,11/5/2018,1/6/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,850,2361,1355,1295,5,7,TRUE
1369,500,760,,,,,,645,700,850,,,,,,1/3/2019,11/5/2018,1/6/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,850,2361,1355,1295,5,7,TRUE
