,DPTR_TM1,DPTR_TM2,DPTR_TM3,DPTR_TM4,DPTR_TM5,DPTR_TM6,DPTR_TM7,DPTR_TM8,ARRV_TM1,ARRV_TM2,ARRV_TM3,ARRV_TM4,ARRV_TM5,ARRV_TM6,ARRV_TM7,ARRV_TM8,FLT_DATE1,FLT_DATE2,FLT_DATE3,FLT_DATE4,FLT_DATE5,FLT_DATE6,FLT_DATE7,FLT_DATE8,ORAC1,ORAC2,ORAC3,ORAC4,ORAC5,ORAC6,ORAC7,ORAC8,DSTC1,DSTC2,DSTC3,DSTC4,DSTC5,DSTC6,DSTC7,DSTC8,MCAR1,MCAR2,MCAR3,MCAR4,MCAR5,MCAR6,MCAR7,MCAR8,MFTN1,MFTN2,MFTN3,MFTN4,MFTN5,MFTN6,MFTN7,MFTN8
0,11:50,14:40,,19:40,12:25,,,,13:15,19:04,,10:40,14:15,,,,2019-04-14,2019-04-14,2019-04-14,2019-04-25,2019-04-26,2019-04-26,2019-04-26,2019-04-26,CPH,AMS,MCO,MIA,CDG,,,,AMS,MCO,MIA,CDG,CPH,,,,DL,DL,,DL,DL,,,,9435,127,VOID,8345,8426,,,
1,11:50,14:40,,19:40,12:25,,,,13:15,19:04,,10:40,14:15,,,,2019-04-14,2019-04-14,2019-04-14,2019-04-25,2019-04-26,2019-04-26,2019-04-26,2019-04-26,CPH,AMS,MCO,MIA,CDG,,,,AMS,MCO,MIA,CDG,CPH,,,,DL,DL,,DL,DL,,,,9435,127,VOID,8345,8426,,,
2,11:50,14:40,,19:40,12:25,,,,13:15,19:04,,10:40,14:15,,,,2019-04-14,2019-04-14,2019-04-14,2019-04-25,2019-04-26,2019-04-26,2019-04-26,2019-04-26,CPH,AMS,MCO,MIA,CDG,,,,AMS,MCO,MIA,CDG,CPH,,,,DL,DL,,DL,DL,,,,9435,127,VOID,8345,8426,,,
3,11:50,14:40,,19:40,12:25,,,,13:15,19:04,,10:40,14:15,,,,2019-04-14,2019-04-14,2019-04-14,2019-04-25,2019-04-26,2019-04-26,2019-04-26,2019-04-26,CPH,AMS,MCO,MIA,CDG,,,,AMS,MCO,MIA,CDG,CPH,,,,DL,DL,,DL,DL,,,,9435,127,VOID,8345,8426,,,
4,11:50,14:40,,19:40,12:25,,,,13:15,19:04,,10:40,14:15,,,,2019-04-14,2019-04-14,2019-04-14,2019-04-25,2019-04-26,2019-04-26,2019-04-26,2019-04-26,CPH,AMS,MCO,MIA,CDG,,,,AMS,MCO,MIA,CDG,CPH,,,,DL,DL,,DL,DL,,,,9435,127,VOID,8345,8426,,,
5,6:40,15:20,20:43,13:20,17:35,10:00,,,9:20,19:11,21:29,15:57,7:55,12:20,,,2018-07-13,2018-07-13,2018-07-13,2019-01-10,2019-01-10,2019-01-11,2019-01-11,2019-01-11,BEG,CDG,ATL,STL,ATL,CDG,,,CDG,ATL,STL,ATL,CDG,BEG,,,JU,AF,DL,DL,AF,JU,,,310,8984,1869,1423,0681,0311,VOID,VOID
6,14:20,17:50,12:05,6:45,12:50,,,,15:35,9:50,18:45,8:00,14:35,,,,2018-09-04,2018-09-04,2018-09-26,2018-09-27,2018-09-27,2018-09-27,2018-09-27,2018-09-27,BLL,AMS,BKK,AMS,CDG,,,,AMS,BKK,AMS,CDG,BLL,,,,KL,KL,AF,AF,AF,,,,1346,875,8273,8223,1264,VOID,VOID,VOID
7,14:20,17:50,12:05,6:45,12:50,,,,15:35,9:50,18:45,8:00,14:35,,,,2018-09-04,2018-09-04,2018-09-26,2018-09-27,2018-09-27,2018-09-27,2018-09-27,2018-09-27,BLL,AMS,BKK,AMS,CDG,,,,AMS,BKK,AMS,CDG,BLL,,,,KL,KL,AF,AF,AF,,,,1346,875,8273,8223,1264,VOID,VOID,VOID
8,6:00,9:50,,8:25,7:25,18:00,16:40,,7:25,11:45,,11:20,15:50,13:50,18:30,,2018-07-03,2018-07-03,2018-07-03,2018-07-15,2018-07-24,2018-07-24,2018-07-25,2018-07-25,CPH,AMS,SFO,LAX,HNL,LAX,CDG,,AMS,SFO,LAX,HNL,LAX,CDG,CPH,,DL,DL,,DL,DL,AF,AF,,9362,9380,VOID,1283,1150,69,1050,VOID
9,6:00,9:50,,8:25,7:25,18:00,16:40,,7:25,11:45,,11:20,15:50,13:50,18:30,,2018-07-03,2018-07-03,2018-07-03,2018-07-15,2018-07-24,2018-07-24,2018-07-25,2018-07-25,CPH,AMS,SFO,LAX,HNL,LAX,CDG,,AMS,SFO,LAX,HNL,LAX,CDG,CPH,,DL,DL,,DL,DL,AF,AF,,9362,9380,VOID,1283,1150,69,1050,VOID
